time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-11T21:35:12.370Z,37.679,-118.8651667,3.28,0.73,md,14,192,0.03464,0.04,nc,nc73083405,2018-09-11T22:42:54.512Z,"11km ENE of Mammoth Lakes, CA",earthquake,0.93,0.65,0.112,11,reviewed,nc,nc
2018-09-11T21:15:00.700Z,35.4876667,-115.5326667,-1.24,1.88,ml,12,79,0.01708,0.19,ci,ci38057127,2018-09-11T23:39:13.122Z,"19km SW of Primm, NV",quarry blast,0.59,31.61,0.214,9,reviewed,ci,ci
2018-09-11T21:10:48.580Z,33.0723333,-114.9923333,-0.2,2.06,ml,7,200,0.1006,0.21,ci,ci38057111,2018-09-11T21:47:14.468Z,"46km NE of Holtville, CA",quarry blast,1.22,31.61,0.29,3,reviewed,ci,ci
2018-09-11T20:59:20.854Z,69.0147,-146.6011,0,2.4,ml,,,,0.73,ak,ak20251689,2018-09-11T21:04:11.706Z,"108km NNW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-11T20:54:37.380Z,33.4898333,-116.7858333,6.13,0.81,ml,20,61,0.02554,0.11,ci,ci38057103,2018-09-11T21:01:50.193Z,"9km NE of Aguanga, CA",earthquake,0.17,0.43,0.101,11,reviewed,ci,ci
2018-09-11T20:45:05.442Z,36.1968,-115.3506,0.4,0.8,ml,19,98.26,0.162,0.1703,nn,nn00656152,2018-09-12T02:06:23.957Z,"10km NNE of Summerlin South, Nevada",earthquake,,5.7,0.47,6,reviewed,nn,nn
2018-09-11T20:40:21.500Z,37.6208333,-119.028,5.53,0.39,md,9,91,0.009635,0.09,nc,nc73083400,2018-09-11T23:29:35.986Z,"5km WSW of Mammoth Lakes, CA",earthquake,0.99,2.06,0.464,10,reviewed,nc,nc
2018-09-11T20:39:41.990Z,60.1552,-152.7003,84.1,1.1,ml,,,,0.35,ak,ak20251685,2018-09-11T20:55:49.551Z,"36km S of Redoubt Volcano, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-09-11T20:25:11.160Z,33.9503333,-116.6306667,14.79,0.89,ml,12,154,0.08913,0.08,ci,ci38057071,2018-09-11T20:49:52.255Z,"10km NW of Garnet, CA",earthquake,0.22,0.37,0.141,9,reviewed,ci,ci
2018-09-11T20:18:42.996Z,69.6381,-144.2238,0,2.2,ml,,,,0.85,ak,ak20251678,2018-09-11T20:24:44.217Z,"59km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-09-11T20:16:20.560Z,33.867,-117.4953333,-0.56,1.34,ml,18,84,0.0648,0.22,ci,ci38057063,2018-09-11T20:38:28.006Z,"3km ESE of Home Gardens, CA",quarry blast,0.48,31.61,0.188,16,reviewed,ci,ci
2018-09-11T19:59:11.684Z,69.5765,-144.2759,0,2.9,ml,,,,0.85,ak,ak20251671,2018-09-11T20:04:10.702Z,"66km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-09-11T19:52:03.310Z,36.7676667,-112.9185,6.12,1.39,ml,6,191,0.2602,0.07,uu,uu60296262,2018-09-11T20:59:34.290Z,"25km SSE of Colorado City, Arizona",earthquake,0.96,31.61,0.015,2,reviewed,uu,uu
2018-09-11T19:42:40.970Z,44.7871667,-111.095,9.22,0.57,md,9,131,0.01217,0.15,uu,uu60296257,2018-09-11T20:21:51.090Z,"13km N of West Yellowstone, Montana",earthquake,0.66,1,0.248,6,reviewed,uu,uu
2018-09-11T19:34:16.130Z,37.6586667,-118.8925,0.81,0.23,md,8,223,0.01119,0.03,nc,nc73083385,2018-09-11T19:49:02.918Z,"8km ENE of Mammoth Lakes, CA",earthquake,0.71,0.42,0.063,6,reviewed,nc,nc
2018-09-11T19:26:56.020Z,19.4058342,-155.2819977,0.86,1.81,md,10,70,0.01193,0.1,hv,hv70588682,2018-09-11T19:30:04.110Z,"5km WSW of Volcano, Hawaii",earthquake,0.28,0.32,0.04,8,automatic,hv,hv
2018-09-11T19:19:18.322Z,69.6433,-144.296,0.8,1.7,ml,,,,0.7,ak,ak20251664,2018-09-11T19:24:14.963Z,"60km SSW of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-11T19:17:36.970Z,33.4935,-116.7915,4.78,0.57,ml,13,96,0.1025,0.1,ci,ci38056967,2018-09-11T19:52:51.772Z,"9km NE of Aguanga, CA",earthquake,0.2,1.99,0.065,7,reviewed,ci,ci
2018-09-11T19:16:21.320Z,33.492,-116.7915,4.65,0.79,ml,20,62,0.02162,0.1,ci,ci38056959,2018-09-11T20:26:40.385Z,"9km NE of Aguanga, CA",earthquake,0.14,0.35,0.063,5,reviewed,ci,ci
2018-09-11T19:10:25.250Z,34.9763333,-118.191,-0.8,1.75,ml,14,96,0.1021,0.32,ci,ci38056951,2018-09-11T19:43:07.732Z,"9km S of Mojave, CA",quarry blast,0.79,31.61,0.074,9,reviewed,ci,ci
2018-09-11T19:07:13.700Z,33.2088333,-116.7435,7.75,0.76,ml,23,46,0.02994,0.14,ci,ci38056935,2018-09-11T19:30:21.018Z,"4km SSE of Lake Henshaw, CA",earthquake,0.24,0.52,0.187,9,reviewed,ci,ci
2018-09-11T19:05:16.197Z,54.4188,-160.843,22.7,1.9,ml,,,,0.65,ak,ak20251662,2018-09-11T20:28:25.247Z,"92km WSW of Chernabura Island, Alaska",earthquake,,3.4,,,reviewed,ak,ak
2018-09-11T19:02:03.550Z,32.7738333,-116.8943333,-0.36,1.59,ml,28,90,0.05562,0.3,ci,ci38056911,2018-09-11T19:16:34.669Z,"5km NE of Rancho San Diego, CA",quarry blast,0.48,31.61,0.147,14,reviewed,ci,ci
2018-09-11T19:00:00.170Z,19.4008331,-155.6986694,-2.89,1.85,md,23,166,0.05696,0.3,hv,hv70588617,2018-09-11T19:03:14.750Z,"18km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.67,0.34,0.19,6,automatic,hv,hv
